Distance_(pixels),Gray_Value
0,24.000
1,21.667
2,24.556
3,30.889
4,36.556
5,41.333
6,39.000
7,35.778
8,35.222
9,36.111
10,34.667
11,35.556
12,38.111
13,38.667
14,35.333
15,39.000
16,46.444
17,54.111
18,57.778
19,54.889
20,50.222
21,48.111
22,46.444
23,48.000
24,47.444
25,53.556
26,60.000
27,58.778
28,58.000
29,56.444
30,54.556
31,55.000
32,54.000
33,54.111
34,56.000
35,57.778
36,57.667
37,60.889
38,60.778
39,66.333
40,68.778
41,66.667
42,62.667
43,66.778
44,69.222
45,70.333
46,70.222
47,71.444
48,74.111
49,70.667
50,69.778
51,68.778
52,71.778
53,74.667
54,80.333
55,84.000
56,78.333
57,80.556
58,78.667
59,73.111
60,74.222
61,78.667
62,81.556
63,85.778
64,91.444
65,95.889
66,96.333
67,99.667
68,87.778
69,95.111
70,91.667
71,100.667
72,104.111
73,105.111
74,105.000
75,103.889
76,103.111
77,103.778
78,99.222
79,99.667
80,100.111
81,103.000
82,103.222
83,104.667
84,105.444
85,108.778
86,115.000
87,105.000
88,117.556
89,116.778
90,108.222
91,102.333
92,104.778
93,112.556
94,116.000
95,121.000
96,121.111
97,120.889
98,133.778
99,134.778
100,116.222
101,115.889
102,103.556
103,85.889
104,88.444
105,91.111
106,93.000
107,107.000
108,113.667
109,117.778
110,123.000
111,120.889
112,104.111
113,86.111
114,87.333
115,108.778
116,139.556
117,155.556
118,153.000
119,132.222
120,110.444
121,102.667
122,117.889
123,143.333
124,146.222
125,127.111
126,127.222
127,143.000
128,139.556
129,122.889
130,124.111
131,128.778
132,110.111
133,108.111
134,108.333
135,106.444
136,111.333
137,127.444
138,136.889
139,129.333
140,125.667
141,130.000
142,128.000
143,126.889
144,123.778
145,117.667
146,109.667
147,123.222
148,125.444
149,115.889
150,134.667
151,127.556
152,124.667
153,126.444
154,117.778
155,105.333
156,106.222
157,97.000
158,104.667
159,108.000
160,111.444
161,118.111
162,124.222
163,121.889
164,119.222
165,114.778
166,118.667
167,120.333
168,115.222
169,113.444
170,106.222
171,97.444
172,92.000
173,104.333
174,106.444
175,114.889
176,112.111
177,110.667
178,106.222
179,98.778
180,95.222
181,93.444
182,87.667
183,87.222
